"Table 2. Per Capita Personal Income by Metropolitan Area, 2016 - 2018",,,,,,,
,Per capita personal income1,,,,Percent change from preceding period,,
,Dollars,,,Rank in United States,Percent change,,Rank in United States
,2016,2017,2018,2018,2017,2018,2018
Metropolitan Statistical Areas2,,,,,,,
"Oklahoma City, OK","44,460","45,951","48,571",143,3.4,5.7,48
"Colorado Springs, CO","44,898","46,708","48,492",144,4,3.8,304
"Lebanon, PA","44,177","46,194","48,352",145,4.6,4.7,161
"Salisbury, MD","45,466","46,722","48,296",146,2.8,3.4,347
"Decatur, IL","45,077","45,425","48,214",147,0.8,6.1,32
"Winchester, VA","44,857","46,303","48,174",148,3.2,4,277
"Flagstaff, AZ","44,279","46,662","48,129",149,5.4,3.1,358
"Fond du Lac, WI","44,346","46,203","48,126",150,4.2,4.2,261
"Oshkosh, WI","44,662","46,131","48,101",151,3.3,4.3,235
"Baton Rouge, LA","44,575","45,865","48,042",152,2.9,4.7,145
"Lexington, KY","44,855","46,387","47,875",153,3.4,3.2,355
"Dayton, OH","43,904","45,751","47,687",154,4.2,4.2,244
"Great Falls, MT","43,955","45,291","47,518",155,3,4.9,119
"Monroe, MI","43,757","45,498","47,496",156,4,4.4,212
"Eau Claire, WI","43,151","45,188","47,450",157,4.7,5,110
"Niles, MI","44,018","45,651","47,430",158,3.7,3.9,296
"Evansville, IN","43,752","45,436","47,313",159,3.8,4.1,265
"Odessa, TX","37,676","42,548","47,271",160,12.9,11.1,2
"South Bend, IN","43,477","45,624","47,244",161,4.9,3.6,340
"Tampa, FL","43,763","45,313","47,240",162,3.5,4.3,243
"Savannah, GA","43,177","44,755","47,144",163,3.7,5.3,74
"Las Vegas, NV","43,573","45,087","47,090",164,3.5,4.4,204
"Corvallis, OR","43,623","44,519","47,019",165,2.1,5.6,55
"San Antonio, TX","43,324","44,874","46,995",166,3.6,4.7,152
"Roanoke, VA","44,292","45,076","46,963",167,1.8,4.2,253
"Watertown, NY","43,674","45,476","46,924",168,4.1,3.2,356
"Toledo, OH","43,742","44,668","46,868",169,2.1,4.9,116
"Elkhart, IN","41,959","45,451","46,816",170,8.3,3,366
"Altoona, PA","42,717","44,160","46,743",171,3.4,5.8,42
"Memphis, TN","43,526","44,655","46,620",172,2.6,4.4,209
"Medford, OR","43,151","44,533","46,603",173,3.2,4.6,165
"Redding, CA","43,412","44,480","46,582",174,2.5,4.7,153
"St. Cloud, MN","42,971","44,679","46,513",175,4,4.1,269
"Columbia, MO","43,446","44,916","46,510",176,3.4,3.5,341
"Shreveport, LA","43,350","43,808","46,509",177,1.1,6.2,27
"Glens Falls, NY","42,591","45,033","46,411",178,5.7,3.1,364
"San Angelo, TX","41,962","43,896","46,406",179,4.6,5.7,47
"Chambersburg, PA","42,597","44,239","46,403",180,3.9,4.9,124
"Duluth, MN","42,392","43,835","46,250",181,3.4,5.5,61
"State College, PA","42,183","44,527","46,193",182,5.6,3.7,315
"Scranton, PA","42,721","43,905","46,175",183,2.8,5.2,93
"Greeley, CO","43,632","44,173","46,172",184,1.2,4.5,189
"Walla Walla, WA","42,464","44,178","46,144",185,4,4.5,203
"Jacksonville, NC","45,907","44,836","46,142",186,-2.3,2.9,369
"Fort Wayne, IN","43,072","44,050","46,141",187,2.3,4.7,144
"Mankato, MN","43,513","44,871","46,141",187,3.1,2.8,372
"Amarillo, TX","43,025","44,111","46,131",189,2.5,4.6,178
"Phoenix, AZ","42,460","44,208","46,125",190,4.1,4.3,224
"The Villages, FL","42,126","44,097","46,100",191,4.7,4.5,182
"Waterloo, IA","42,227","43,591","46,063",192,3.2,5.7,50
"Topeka, KS","42,951","43,758","46,017",193,1.9,5.2,96
"Manhattan, KS","43,171","44,212","46,008",194,2.4,4.1,275
"Champaign-Urbana, IL","43,356","43,644","45,975",195,0.7,5.3,73
"Boise City, ID","42,395","44,062","45,973",196,3.9,4.3,223
"Victoria, TX","41,507","43,469","45,968",197,4.7,5.7,46
"Eugene, OR","42,254","43,960","45,919",198,4,4.5,201
"Spokane, WA","42,397","44,006","45,903",199,3.8,4.3,226
"Chattanooga, TN","42,833","44,198","45,900",200,3.2,3.9,300
"Knoxville, TN","42,630","43,770","45,739",201,2.7,4.5,194
"Daphne, AL","42,907","43,989","45,596",202,2.5,3.7,325
"Bloomsburg, PA","42,010","43,692","45,527",203,4,4.2,249
"Little Rock, AR","42,963","43,901","45,512",204,2.2,3.7,322
"Idaho Falls, ID","41,908","43,646","45,477",205,4.1,4.2,252
"Asheville, NC","41,744","43,265","45,433",206,3.6,5,109
"Palm Bay, FL","41,793","43,371","45,425",207,3.8,4.7,147
"Lewiston, ID","41,957","43,771","45,368",208,4.3,3.6,328
"Ithaca, NY","40,989","43,466","45,282",209,6,4.2,254
"Stockton, CA","41,094","42,391","44,995",210,3.2,6.1,29
"Longview, WA","41,827","43,046","44,990",211,2.9,4.5,192
"Coeur d'Alene, ID","41,370","43,129","44,987",212,4.3,4.3,228
"Grand Junction, CO","39,828","42,239","44,935",213,6.1,6.4,23
"Columbia, SC","41,996","43,750","44,906",214,4.2,2.6,375
"Erie, PA","41,156","42,308","44,903",215,2.8,6.1,33
"Winston, NC","41,559","43,306","44,850",216,4.2,3.6,337
"Binghamton, NY","40,873","43,201","44,817",217,5.7,3.7,316
"Canton, OH","41,292","42,937","44,767",218,4,4.3,240
"Beaumont, TX","41,659","42,728","44,527",219,2.6,4.2,247
"Enid, OK","43,530","42,493","44,465",220,-2.4,4.6,169
"Elmira, NY","40,618","42,745","44,373",221,5.2,3.8,306
"Chico, CA","42,015","42,653","44,346",222,1.5,4,290
"Rockford, IL","40,600","42,121","44,328",223,3.7,5.2,83
"Staunton, VA","41,224","42,622","44,316",224,3.4,4,289
"Corpus Christi, TX","40,387","42,389","44,311",225,5,4.5,186
"Lafayette, LA","40,468","41,832","44,273",226,3.4,5.8,44
"Kennewick, WA","42,108","43,064","44,256",227,2.3,2.8,373
"Greenville, SC","40,902","42,650","44,213",228,4.3,3.7,323
"Janesville, WI","40,968","42,189","44,204",229,3,4.8,141
"Houma, LA","40,980","41,605","44,127",230,1.5,6.1,36
"Modesto, CA","41,417","42,354","44,120",231,2.3,4.2,257
"Charleston, WV","39,953","41,322","44,053",232,3.4,6.6,17
"Utica, NY","40,418","42,790","44,036",233,5.9,2.9,370
"Tucson, AZ","39,904","42,133","44,028",234,5.6,4.5,195
"Alexandria, LA","41,572","42,200","43,995",235,1.5,4.3,242
